work_id,has_duplicate_candidate,best_candidate_work_id,best_similarity_0_1
W-000001,False,W-001231,1.0
W-000002,False,W-001232,1.0
W-000003,False,W-001233,0.9999999403953552
W-000004,False,W-001234,1.0
W-000005,False,W-001235,1.0
W-000006,False,W-001236,0.9999998807907104
W-000007,False,W-001237,0.9999999403953552
W-000008,False,W-001238,0.9999996423721313
W-000009,False,W-001239,1.0
W-000010,False,W-002101,0.9941613674163818
W-000011,False,W-000872,0.9949647188186646
W-000012,False,W-002958,0.9989324808120728
W-000013,False,W-003826,0.9964197874069214
W-000014,False,W-002966,0.9935932159423828
W-000015,False,W-002100,0.9972731471061707
W-000016,False,W-004696,0.9963862895965576
W-000017,False,W-002477,1.0
W-000018,False,W-002478,1.0
W-000019,False,W-002479,1.0
W-000020,False,W-001250,1.0
W-000021,False,W-002481,1.0
W-000022,False,W-001252,1.0
W-000023,False,W-001253,1.0
W-000024,False,W-001254,0.9999999403953552
W-000025,False,W-001255,0.9999999403953552
W-000026,False,W-001256,1.0
W-000027,False,W-001257,1.0
W-000028,False,W-002119,0.995752215385437
W-000029,False,W-001751,0.9939543604850769
W-000030,False,W-000891,0.9957200288772583
W-000031,False,W-000892,0.9954866170883179
W-000032,False,W-002123,0.9929664731025696
W-000033,False,W-004713,0.9947243332862854
W-000034,False,W-002494,0.9999998211860657
W-000035,False,W-001265,1.0
W-000036,False,W-001266,0.9999997615814209
W-000037,False,W-001267,1.0
W-000038,False,W-001268,1.0
W-000039,False,W-001269,1.0
W-000040,False,W-004585,0.9958816766738892
W-000041,False,W-001271,0.9999998807907104
W-000042,False,W-001272,1.0
W-000043,False,W-001273,1.0
W-000044,False,W-001274,1.0
W-000045,False,W-000906,0.9961764812469482
W-000046,False,W-002137,0.9951266050338745
W-000047,False,W-002999,0.9957963228225708
W-000048,False,W-003861,0.9954776167869568
W-000049,False,W-002134,0.9957220554351807
W-000050,False,W-004220,0.9939473271369934
W-000051,False,W-001281,1.0
W-000052,False,W-001282,1.0
W-000053,False,W-001283,1.0
W-000054,False,W-002514,0.9999997615814209
W-000055,False,W-002515,0.9999998807907104
W-000056,False,W-001286,1.0
W-000057,False,W-001287,1.0
W-000058,False,W-001288,1.0
W-000059,False,W-001289,1.0
W-000060,False,W-001290,1.0
W-000061,False,W-001291,1.0
W-000062,False,W-002153,0.9926322102546692
W-000063,False,W-000918,0.9954771995544434
W-000064,False,W-002149,0.9969087839126587
W-000065,False,W-000926,0.9933450222015381
W-000066,False,W-000921,0.9964499473571777
W-000067,False,W-001789,0.9945603609085083
W-000068,False,W-001298,0.9999999403953552
W-000069,False,W-002529,1.0
W-000070,False,W-001300,1.0
W-000071,False,W-002531,0.9999998807907104
W-000072,False,W-001302,1.0
W-000073,False,W-001303,1.0
W-000074,False,W-001304,1.0
W-000075,False,W-001305,0.9999998807907104
W-000076,False,W-003397,0.9946383237838745
W-000077,False,W-001307,0.9999999403953552
W-000078,False,W-001308,1.0
W-000079,False,W-003031,0.995728611946106
W-000080,False,W-000935,0.9962751865386963
W-000081,False,W-000936,0.9979526996612549
W-000082,False,W-002671,0.998801589012146
W-000083,False,W-003896,0.9951751232147217
W-000084,False,W-004266,0.9942877292633057
W-000085,False,W-001315,1.0
W-000086,False,W-002546,0.9999999403953552
W-000087,False,W-001317,0.9999998807907104
W-000088,False,W-002548,1.0
W-000089,False,W-001319,0.9999999403953552
W-000090,False,W-001320,1.0
W-000091,False,W-001321,1.0
W-000092,False,W-001322,0.9999998211860657
W-000093,False,W-001323,1.0
W-000094,False,W-001324,1.0
W-000095,False,W-001325,1.0
W-000096,False,W-000957,0.99705570936203
W-000097,False,W-000952,0.993981122970581
W-000098,False,W-004778,0.9979825019836426
W-000099,False,W-004779,0.9965327978134155
W-000100,False,W-003919,0.9993749856948853
W-000101,False,W-002192,0.9965150356292725
W-000102,False,W-001332,1.0
W-000103,False,W-001333,1.0
W-000104,False,W-001334,0.9999997615814209
W-000105,False,W-001335,1.0
W-000106,False,W-002566,1.0
W-000107,False,W-001337,0.9999997019767761
W-000108,False,W-001338,1.0
W-000109,False,W-001339,0.9999998807907104
W-000110,False,W-001340,0.9999998807907104
W-000111,False,W-001341,1.0
W-000112,False,W-001342,0.9999998807907104
W-000113,False,W-002204,0.9947296380996704
W-000114,False,W-003066,0.9895110130310059
W-000115,False,W-004795,0.9963114261627197
W-000116,False,W-004796,0.9962927103042603
W-000117,False,W-004287,0.99651700258255
W-000118,False,W-003931,0.9955848455429077
W-000119,False,W-001349,1.0
W-000120,False,W-001350,1.0
W-000121,False,W-002581,1.0
W-000122,False,W-002582,1.0
W-000123,False,W-001353,0.9999998211860657
W-000124,False,W-004306,0.9956018924713135
W-000125,False,W-000986,0.994282603263855
W-000126,False,W-002211,0.9953938722610474
W-000127,False,W-001357,1.0
W-000128,False,W-001358,1.0
W-000129,False,W-001359,1.0
W-000130,False,W-000991,0.9944252967834473
W-000131,False,W-000992,0.9957808256149292
W-000132,False,W-004302,0.997586190700531
W-000133,False,W-003946,0.992328405380249
W-000134,False,W-004814,0.9950028657913208
W-000135,False,W-003948,0.9915304183959961
W-000136,False,W-001366,1.0
W-000137,False,W-002597,1.0
W-000138,False,W-001368,1.0
W-000139,False,W-002599,0.9999998807907104
W-000140,False,W-002600,0.9999997615814209
W-000141,False,W-001371,1.0
W-000142,False,W-001372,1.0
W-000143,False,W-001373,1.0
W-000144,False,W-001374,1.0
W-000145,False,W-001375,1.0
W-000146,False,W-001376,1.0
W-000147,False,W-004680,0.998746395111084
W-000148,False,W-003961,0.9934605956077576
W-000149,False,W-001871,0.9966098666191101
W-000150,False,W-001011,0.995505154132843
W-000151,False,W-004831,0.9980550408363342
W-000152,False,W-001874,0.993344247341156
W-000153,False,W-001383,1.0
W-000154,False,W-001384,0.9999998807907104
W-000155,False,W-001385,1.0
W-000156,False,W-001386,0.9999998807907104
W-000157,False,W-002617,1.0
W-000158,False,W-001388,1.0
W-000159,False,W-001389,0.9999999403953552
W-000160,False,W-001390,0.9999998807907104
W-000161,False,W-003482,0.9945237040519714
W-000162,False,W-001392,1.0
W-000163,False,W-001393,1.0
W-000164,False,W-004856,0.9987751841545105
W-000165,False,W-002256,0.9898755550384521
W-000166,False,W-002257,0.9961002469062805
W-000167,False,W-003119,0.9914190769195557
W-000168,False,W-004848,0.9967674612998962
W-000169,False,W-004351,0.9956839084625244
W-000170,False,W-001400,1.0
