work_id,lifecycle_stage,family,normalized_strength_0_100,weight_pct,contribution_points,policy_version
W-000001,PRE_SANCTION,ANOMALY,29.71887550200803,30,8.915662650602409,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000001,PRE_SANCTION,PEER_DEVIATION,0.0,25,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000001,PRE_SANCTION,DUPLICATE_REVIEW,0.0,25,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,ANOMALY,62.457142857142856,10,6.2457142857142856,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,PEER_DEVIATION,60.59529098178588,10,6.059529098178587,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,DUPLICATE_REVIEW,0.0,15,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,PAYMENT_EXECUTION,8.133333333333326,25,2.0333333333333314,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,OBSERVED_CONDITIONS,0.0,20,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,COMPLIANCE,0.0,10,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,COST_OVERRUN_PREDICTION,48.91428571428572,5,2.4457142857142857,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,ANOMALY,92.85714285714286,10,9.285714285714286,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,PEER_DEVIATION,48.533984895601954,10,4.853398489560195,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,DUPLICATE_REVIEW,0.0,15,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,PAYMENT_EXECUTION,7.600000000000004,25,1.9000000000000012,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,OBSERVED_CONDITIONS,80.0,20,16.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,COMPLIANCE,0.0,10,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,COST_OVERRUN_PREDICTION,44.57142857142857,5,2.228571428571428,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,ANOMALY,58.74285714285714,10,5.8742857142857146,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,PEER_DEVIATION,92.96979120390937,10,9.296979120390937,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,DUPLICATE_REVIEW,0.0,15,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,PAYMENT_EXECUTION,17.066666666666663,25,4.266666666666666,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,OBSERVED_CONDITIONS,75.0,20,15.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,COMPLIANCE,0.0,10,0.0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,COST_OVERRUN_PREDICTION,93.08571428571429,5,4.654285714285715,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
