file_name,row_count,sha256,purpose,synthetic_demo_data
01_mp_master.csv,18,c5a0628d317992d6179ce1d5cea32c663707ee0edf316e895dd886ff522f1827,Synthetic MP and constituency scope master,True
02_entities.csv,54,d67fb10aefffe3c61239f048332f2be4d1b8b2fa42b967c45ff3ecc9fbfa3d38,Synthetic implementing-agency scope master,True
03_works.csv,5000,26a404237171e4fec774492fdfd3855e8391896fa17becc2d0674f5fe0e9dbdd,One synthetic row per work,True
04_payments.csv,16760,962c43f2bd4722adf2913c336e2c008e4c4f657c7e68a4cfe122f68fc54d98da,Synthetic payment history kept one-to-many,True
05_progress.csv,90905,63614549b48043b2813f731d4eff5fce505feed5a5a70c8c66ae4cf8463be5cf,Synthetic monthly progress history kept one-to-many,True
06_assets.csv,2604,2412cc980a8c558d073d84b0d33a7d8eba112907527d004bd0f8e720819d75bd,Synthetic asset records; multiple rows per work supported,True
10_work_records.csv,43908,ac353355f8fdafd121cebafec82e27053155f833004f5e65afb9573ef1d82c95,Normalized synthetic records and certificates,True
11_annual_allocations.csv,54,d0e8f53b68799accbd84277d18482c9a9ccccbb8d9ad328e00bb22c6788b97eb,Synthetic historical annual fund aggregates,True
12_geo_site_evidence.csv,19442,a7791ed1d4b92a1bd53f0c3e392918a061408e69e99e50042b525f815b923487,Clearly labelled synthetic geo-site evidence,True
evaluation/anomaly_ground_truth_v2.csv,5000,92ae24a2bab2ad10a4ae24d88c07e51aaf5fd51bc10e185afc01d944e2d9412b,Evaluation-only synthetic anomaly labels,True
evidence-images/synthetic-site-01.svg,0,794bcbbac6c862388e6c087c6bd1b2e483f7ce90352409ff45aceb5851ae6447,Clearly labelled seeded SVG prototype evidence,True
evidence-images/synthetic-site-02.svg,0,672c553f360c05043de33a29adf711834bb5506427fc8d3122c65e7f838a17a1,Clearly labelled seeded SVG prototype evidence,True
evidence-images/synthetic-site-03.svg,0,7ca7b37cb2fb6c507922737a0ccc48916ba6be4efe11a3a3a35e6d9d0c840322,Clearly labelled seeded SVG prototype evidence,True
