pair_id,work_id_a,work_id_b,duplicate_similarity_score_0_100,text_cosine_similarity,geographic_distance_km,location_similarity,recommended_amount_similarity,sanctioned_amount_similarity,amount_similarity,recommendation_date_difference_days,date_proximity_score,same_state,same_district,same_block,same_village,sector_match,sub_sector_match,implementing_agency_match,candidate_flag,retrieval_candidate,evidence_summary,review_candidate,review_policy_reason
W-002680__W-002722,W-002680,W-002722,96.033758,1.0,0.22957090663898666,0.9990817163734441,0.9732061762034514,0.9796195652173914,0.9757715318090274,58,0.8410958904109589,True,True,True,True,True,True,False,True,True,semantic=1.000; same_district=true; same_block=true; same_village=true; distance_km=0.230; amount_similarity=0.976; date_difference_days=58,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-000740__W-000892,W-000740,W-000892,95.673732,0.98002696,0.20437839101605568,0.9991824864359358,0.9868147120055517,0.9649359406608227,0.9780632034676601,36,0.9013698630136986,True,True,True,True,True,True,False,True,True,semantic=0.980; same_district=true; same_block=true; same_village=true; distance_km=0.204; amount_similarity=0.978; date_difference_days=36,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-002973__W-002984,W-002973,W-002984,95.61057,0.98752236,0.10215727451357472,0.9995913709019457,0.9994931576279777,0.9586653386454184,0.983162030034954,55,0.8493150684931507,True,True,True,True,True,True,False,True,True,semantic=0.988; same_district=true; same_block=true; same_village=true; distance_km=0.102; amount_similarity=0.983; date_difference_days=55,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-002299__W-002340,W-002299,W-002340,95.359006,0.97801661,0.24365378392191614,0.9990253848643124,0.9749627421758569,0.8789119625621526,0.9365424303303752,21,0.9424657534246575,True,True,True,True,True,True,False,True,True,semantic=0.978; same_district=true; same_block=true; same_village=true; distance_km=0.244; amount_similarity=0.937; date_difference_days=21,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-000431__W-000564,W-000431,W-000564,95.32324,0.98941332,0.1186184158812182,0.9995255263364752,0.9965826569841948,0.9863074204946997,0.9924725623883968,74,0.7972602739726027,True,True,True,True,True,True,False,True,True,semantic=0.989; same_district=true; same_block=true; same_village=true; distance_km=0.119; amount_similarity=0.992; date_difference_days=74,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-002573__W-002722,W-002573,W-002722,95.243088,0.98473358,0.19310962105251064,0.99922756151579,0.9877384196185286,0.9528985507246377,0.9738024720609721,58,0.8410958904109589,True,True,True,True,True,True,False,True,True,semantic=0.985; same_district=true; same_block=true; same_village=true; distance_km=0.193; amount_similarity=0.974; date_difference_days=58,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-002259__W-002276,W-002259,W-002276,94.998364,0.9910872,0.2005168372852787,0.9991979326508589,0.9772357723577236,0.9845814977973568,0.9801740625335769,82,0.7753424657534247,True,True,True,True,True,True,False,True,True,semantic=0.991; same_district=true; same_block=true; same_village=true; distance_km=0.201; amount_similarity=0.980; date_difference_days=82,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-001655__W-002545,W-001655,W-002545,94.496537,0.99710625,230.05765296263323,0.8,0.9519408502772644,0.9529320987654321,0.9523373496725315,60,0.8356164383561644,True,True,True,False,True,True,True,True,True,semantic=0.997; same_district=true; same_block=true; same_village=false; distance_km=230.058; amount_similarity=0.952; date_difference_days=60,False,"NOT_SELECTED:village_differs,distance_missing_or_above_1km"
W-002676__W-002746,W-002676,W-002746,94.466907,0.98889256,0.4091716487584826,0.9983633134049661,0.9900452488687783,0.9884904825143869,0.9894233423270218,102,0.7205479452054795,True,True,True,True,True,True,False,True,True,semantic=0.989; same_district=true; same_block=true; same_village=true; distance_km=0.409; amount_similarity=0.989; date_difference_days=102,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
W-001203__W-001224,W-001203,W-001224,94.430306,0.97274262,0.08291327277035125,0.9996683469089186,0.9754402224281742,0.9347048300536672,0.9591460654783714,58,0.8410958904109589,True,True,True,True,True,True,False,True,True,semantic=0.973; same_district=true; same_block=true; same_village=true; distance_km=0.083; amount_similarity=0.959; date_difference_days=58,True,SELECTED:semantic+locality+distance+amount+date+taxonomy
