group_type,group_value,group_label,work_count,top_10pct_anomaly_work_count,top_10pct_anomaly_share,duplicate_review_work_count,duplicate_review_share,payment_evidence_work_count,payment_evidence_share,persistent_fund_gap_work_count,persistent_fund_gap_share,observed_overdue_work_count,observed_overdue_share,observed_over_sanction_work_count,observed_over_sanction_share,compliance_review_work_count,compliance_review_share,deterministic_non_compliant_work_count
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,129,14,0.10852713178294573,0,0.0,60,0.46511627906976744,64,0.49612403100775193,12,0.09302325581395349,2,0.015503875968992248,91,0.7054263565891473,0
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2,127,13,0.10236220472440945,0,0.0,66,0.5196850393700787,61,0.48031496062992124,11,0.08661417322834646,1,0.007874015748031496,89,0.7007874015748031,0
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3,113,9,0.07964601769911504,0,0.0,70,0.6194690265486725,56,0.49557522123893805,6,0.05309734513274336,0,0.0,87,0.7699115044247787,0
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4,116,17,0.14655172413793102,0,0.0,74,0.6379310344827587,56,0.4827586206896552,11,0.09482758620689655,3,0.02586206896551724,84,0.7241379310344828,1
DISTRICT,state_name=Karnataka|district=Karnataka Demo District 1,state_name=Karnataka|district=Karnataka Demo District 1,132,18,0.13636363636363635,2,0.015151515151515152,68,0.5151515151515151,60,0.45454545454545453,11,0.08333333333333333,0,0.0,91,0.6893939393939394,0
DISTRICT,state_name=Karnataka|district=Karnataka Demo District 2,state_name=Karnataka|district=Karnataka Demo District 2,130,14,0.1076923076923077,0,0.0,64,0.49230769230769234,58,0.4461538461538462,13,0.1,0,0.0,88,0.676923076923077,0
DISTRICT,state_name=Karnataka|district=Karnataka Demo District 3,state_name=Karnataka|district=Karnataka Demo District 3,127,6,0.047244094488188976,8,0.06299212598425197,63,0.49606299212598426,67,0.5275590551181102,16,0.12598425196850394,1,0.007874015748031496,94,0.7401574803149606,0
DISTRICT,state_name=Karnataka|district=Karnataka Demo District 4,state_name=Karnataka|district=Karnataka Demo District 4,128,14,0.109375,0,0.0,76,0.59375,67,0.5234375,7,0.0546875,0,0.0,104,0.8125,0
DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 1,state_name=Maharashtra|district=Maharashtra Demo District 1,147,8,0.05442176870748299,2,0.013605442176870748,78,0.5306122448979592,66,0.4489795918367347,15,0.10204081632653061,0,0.0,106,0.7210884353741497,0
DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 2,state_name=Maharashtra|district=Maharashtra Demo District 2,107,10,0.09345794392523364,0,0.0,59,0.5514018691588785,49,0.45794392523364486,12,0.11214953271028037,0,0.0,76,0.7102803738317757,0
DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 3,state_name=Maharashtra|district=Maharashtra Demo District 3,131,12,0.0916030534351145,0,0.0,73,0.5572519083969466,63,0.48091603053435117,17,0.1297709923664122,1,0.007633587786259542,85,0.648854961832061,0
DISTRICT,state_name=Maharashtra|district=Maharashtra Demo District 4,state_name=Maharashtra|district=Maharashtra Demo District 4,117,18,0.15384615384615385,2,0.017094017094017096,52,0.4444444444444444,54,0.46153846153846156,9,0.07692307692307693,2,0.017094017094017096,82,0.7008547008547008,0
