work_id,selected_trend_group,selected_trend_group_value,strongest_operational_trend_metric,strongest_operational_trend_robust_z,operational_trend_deviation_flag,operational_trend_context_score_0_100
W-000001,DISTRICT_SECTOR,state_name=Odisha|district=Odisha Demo District 4|sector=Sports,progress_report_count,12.47825,True,57.299270072992705
W-000002,DISTRICT_SECTOR,state_name=Karnataka|district=Karnataka Demo District 1|sector=Sports,progress_report_count,30.3525,True,91.6058394160584
W-000003,DISTRICT,state_name=Telangana|district=Telangana Demo District 1,progress_report_count,13.152750000000001,True,60.58394160583942
W-000004,DISTRICT_SECTOR,state_name=Odisha|district=Odisha Demo District 2|sector=Drinking Water,progress_report_count,4.7215,True,12.226277372262775
W-000005,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2,progress_report_count,18.8016875,True,78.46715328467153
W-000006,DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Sanitation,progress_report_count,4.7215,True,12.226277372262775
W-000007,DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Sanitation,progress_report_count,4.7215,True,12.226277372262775
W-000008,DISTRICT_SECTOR,state_name=Maharashtra|district=Maharashtra Demo District 4|sector=Drinking Water,progress_report_count,5.620833333333334,True,20.072992700729927
W-000009,DISTRICT_SECTOR,state_name=Maharashtra|district=Maharashtra Demo District 3|sector=Drinking Water,progress_report_count,3.541125,True,1.094890510948905
W-000010,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3,progress_report_count,29.172125,True,90.51094890510949
W-000011,DISTRICT_SECTOR,state_name=Odisha|district=Odisha Demo District 2|sector=Sanitation,progress_report_count,22.258499999999998,True,83.75912408759125
W-000012,DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Community Infrastructure,progress_report_count,8.094,True,34.85401459854015
W-000013,DISTRICT_SECTOR,state_name=Maharashtra|district=Maharashtra Demo District 4|sector=Community Infrastructure,progress_report_count,3.1476666666666664,False,0.0
W-000014,DISTRICT_SECTOR,state_name=Telangana|district=Telangana Demo District 1|sector=Sanitation,progress_report_count,21.584,True,81.93430656934306
W-000015,DISTRICT_SECTOR,state_name=Rajasthan|district=Rajasthan Demo District 4|sector=Sanitation,progress_report_count,14.50175,True,66.05839416058394
W-000016,DISTRICT,state_name=Rajasthan|district=Rajasthan Demo District 3,progress_report_count,13.28765,True,60.94890510948905
W-000017,DISTRICT_SECTOR,state_name=Karnataka|district=Karnataka Demo District 2|sector=Education,progress_report_count,9.443,True,44.16058394160584
W-000018,DISTRICT,state_name=Odisha|district=Odisha Demo District 2,progress_report_count,20.347416666666664,True,80.2919708029197
W-000019,DISTRICT_SECTOR,state_name=Maharashtra|district=Maharashtra Demo District 3|sector=Renewable Energy,progress_report_count,18.2115,True,75.91240875912408
W-000020,DISTRICT_SECTOR,state_name=Maharashtra|district=Maharashtra Demo District 1|sector=Community Infrastructure,progress_report_count,30.3525,True,91.6058394160584
W-000021,DISTRICT_SECTOR,state_name=Telangana|district=Telangana Demo District 1|sector=Roads & Bridges,progress_report_count,7.08225,True,29.37956204379562
W-000022,DISTRICT_SECTOR,state_name=Odisha|district=Odisha Demo District 3|sector=Sanitation,progress_report_count,23.607499999999998,True,86.13138686131386
W-000023,DISTRICT_SECTOR,state_name=Karnataka|district=Karnataka Demo District 1|sector=Roads & Bridges,progress_report_count,6.295333333333333,True,24.087591240875913
W-000024,DISTRICT_SECTOR,state_name=Karnataka|district=Karnataka Demo District 4|sector=Roads & Bridges,progress_report_count,8.094,True,34.85401459854015
W-000025,DISTRICT_SECTOR,state_name=Karnataka|district=Karnataka Demo District 2|sector=Roads & Bridges,progress_report_count,22.933,True,85.21897810218978
W-000026,DISTRICT_SECTOR,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1|sector=Drinking Water,progress_report_count,11.4665,True,53.284671532846716
W-000027,DISTRICT_SECTOR,state_name=Karnataka|district=Karnataka Demo District 2|sector=Health,progress_report_count,3.5973333333333333,True,1.824817518248175
