work_id,lifecycle_stage,iforest_score_samples_raw,iforest_unusualness_score,within_stage_anomaly_percentile_0_100,within_stage_rank,stage_population,peer_outlier_count,max_abs_peer_deviation,top_peer_deviation_metric,injected_anomaly_count,has_injected_anomaly
W-000001,COMPLETION,-0.5521459703440296,0.5521459703440296,96.99170124481329,59,1929,0,2.446030475510447,physical_progress_velocity_pct_per_30d,0,False
W-000002,COMPLETION,-0.4173309180554739,0.4173309180554739,25.985477178423235,1428,1929,0,1.473523076923082,latest_financial_progress_pct_as_of,0,False
W-000003,COMPLETION,-0.3998174174809198,0.3998174174809198,6.172199170124482,1810,1929,0,1.4514071279777805,financial_overrun_pct_as_of,1,True
W-000004,COMPLETION,-0.4078002284524066,0.4078002284524066,13.692946058091286,1665,1929,0,0.8466803463855421,released_payment_total_inr_as_of,0,False
W-000005,EXECUTION,-0.4410270347608299,0.4410270347608299,52.375,382,801,3,6.074031413612565,overdue_days_as_of,0,False
W-000006,COMPLETION,-0.4311745392975351,0.4311745392975351,47.095435684647306,1021,1929,0,1.3357344954355408,largest_payment_share_as_of,1,True
W-000007,COMPLETION,-0.4130325478951053,0.4130325478951053,20.59128630705394,1532,1929,0,2.6337810846892857,largest_payment_share_as_of,0,False
W-000008,EXECUTION,-0.4108853113664631,0.4108853113664631,19.0,649,801,0,1.7717844202898552,recommended_amount_inr,0,False
W-000009,COMPLETION,-0.5444970438530241,0.5444970438530241,96.57676348547716,67,1929,1,5.080985579622902,physical_progress_velocity_pct_per_30d,0,False
W-000010,COMPLETION,-0.4236539801708293,0.4236539801708293,36.20331950207469,1231,1929,0,1.2798240216103267,expenditure_to_sanction_pct_as_of,0,False
W-000011,COMPLETION,-0.4140354076516981,0.4140354076516981,21.939834024896264,1506,1929,0,1.9805604840070208,expenditure_to_sanction_pct_as_of,0,False
W-000012,EXECUTION,-0.4054781456650657,0.4054781456650657,12.375,702,801,0,1.8886,financial_minus_physical_gap_pct_as_of,0,False
W-000013,EXECUTION,-0.4290704826960945,0.4290704826960945,41.25,471,801,2,148.38999999999993,max_physical_progress_drop_pct_as_of,0,False
W-000014,COMPLETION,-0.388850522705621,0.388850522705621,0.7780082987551867,1914,1929,0,0.8791046367724487,estimate_to_recommended_ratio,0,False
W-000015,EXECUTION,-0.4364158188038665,0.4364158188038665,47.5,421,801,2,9.583296,overdue_days_as_of,0,False
W-000016,EXECUTION,-0.4027385768905351,0.4027385768905351,8.25,735,801,0,1.6592700000000016,financial_minus_physical_gap_pct_as_of,0,False
W-000017,EXECUTION,-0.4400062505700509,0.4400062505700509,51.25,391,801,0,2.770638461538462,expected_minus_physical_gap_pct_as_of,0,False
W-000018,COMPLETION,-0.4310611286871964,0.4310611286871964,46.93983402489626,1024,1929,1,7.032450331054264,financial_overrun_pct_as_of,0,False
W-000019,COMPLETION,-0.4623474402448005,0.4623474402448005,77.02282157676349,444,1929,1,6.507025220004866,largest_payment_share_as_of,0,False
W-000020,COMPLETION,-0.3983409010548465,0.3983409010548465,4.875518672199171,1835,1929,0,2.885651225038695,expenditure_to_sanction_pct_as_of,0,False
W-000021,COMPLETION,-0.473733900643028,0.473733900643028,83.45435684647303,320,1929,0,1.2479631546584922,schedule_elapsed_ratio_as_of,0,False
W-000022,COMPLETION,-0.4211539061853383,0.4211539061853383,32.31327800829875,1306,1929,0,1.7734687341045734,largest_payment_share_as_of,0,False
W-000023,EXECUTION,-0.4153742160136276,0.4153742160136276,24.5,605,801,1,6.29533333333324,max_physical_progress_drop_pct_as_of,0,False
W-000024,COMPLETION,-0.4329044659080988,0.4329044659080988,49.27385892116183,979,1929,0,1.405733644859813,days_since_last_payment_as_of,0,False
W-000025,COMPLETION,-0.508947022880184,0.508947022880184,92.42738589211618,147,1929,0,1.82115,sanctioned_amount_inr,0,False
W-000026,EXECUTION,-0.4257075977668414,0.4257075977668414,36.875,506,801,0,1.3734225401442677,estimate_to_recommended_ratio,0,False
W-000027,EXECUTION,-0.4953164533454838,0.4953164533454838,87.75,99,801,2,18.80086846107629,sanction_to_estimate_ratio,1,True
W-000028,COMPLETION,-0.3912120382952056,0.3912120382952056,1.4522821576763485,1901,1929,0,1.84857188621792,financial_overrun_pct_as_of,0,False
W-000029,EXECUTION,-0.4268285112232094,0.4268285112232094,38.375,494,801,0,1.518646507730814,physical_progress_velocity_pct_per_30d,0,False
W-000030,PRE_SANCTION,-0.4638709668276669,0.4638709668276669,37.17472118959108,170,270,0,2.0917827160493827,recommended_amount_inr,0,False
W-000031,EXECUTION,-0.4156126281203978,0.4156126281203978,24.625,604,801,0,1.13484625,sanctioned_amount_inr,0,False
W-000032,EXECUTION,-0.4253748194931965,0.4253748194931965,36.75,507,801,1,7.028999999999998,max_physical_progress_drop_pct_as_of,0,False
W-000033,COMPLETION,-0.4134417353607447,0.4134417353607447,21.109958506224068,1522,1929,0,1.4521311640951708,sanction_to_recommended_ratio,0,False
W-000034,COMPLETION,-0.4791108944962351,0.4791108944962351,85.52904564315352,280,1929,0,2.483446272909732,schedule_elapsed_ratio_as_of,0,False
W-000035,COMPLETION,-0.4017509925438031,0.4017509925438031,7.41701244813278,1786,1929,0,1.5052725724020444,released_payment_total_inr_as_of,0,False
W-000036,COMPLETION,-0.4293102060345335,0.4293102060345335,44.865145228215766,1064,1929,0,2.934091429374758,largest_payment_share_as_of,0,False
W-000037,EXECUTION,-0.4502609494151989,0.4502609494151989,61.625,308,801,0,2.0426380622837352,physical_progress_velocity_pct_per_30d,0,False
W-000038,PRE_SANCTION,-0.5582713713105313,0.5582713713105313,91.82156133828995,23,270,0,0.811222972972973,technical_estimate_amount_inr,0,False
W-000039,EXECUTION,-0.4823226431250644,0.4823226431250644,80.75,155,801,0,1.7800401755689503,expenditure_to_sanction_pct_as_of,0,False
W-000040,COMPLETION,-0.4510441944812843,0.4510441944812843,68.3609958506224,611,1929,0,2.1318023657366743,largest_payment_share_as_of,0,False
